#Types Before Cut: 11115
#Types After Cut: 9737
#Search Hits: 0
240	15	29.804	какой-нибудь
241	33	29.014	две
242	13	28.865	какие-нибудь
243	13	28.865	концерт
244	13	28.865	ходить
245	13	28.865	честно
246	17	28.307	какую-то
247	17	28.307	моей
248	22	28.002	часов
249	18	27.992	понимаю
250	19	27.842	слово
251	27	27.793	моя
252	50	27.334	день
253	14	27.333	собственно
254	10	27.292	--
255	10	27.292	бывают
256	10	27.292	вкус
257	10	27.292	восемьдесят
258	10	27.292	девочки
259	10	27.292	ехать
260	10	27.292	забыл
261	10	27.292	иии
262	10	27.292	картинка
263	10	27.292	кашель
264	10	27.292	квартире
265	10	27.292	лиля
266	10	27.292	нуу
267	10	27.292	озеро
268	10	27.292	пол
269	10	27.292	прикольно
270	10	27.292	расскажу
271	10	27.292	ребята
272	10	27.292	своё
273	10	27.292	слушай
274	10	27.292	смешок
275	10	27.292	смотри
276	10	27.292	собака
277	39	26.599	людей
278	15	26.489	видео
279	15	26.489	ж
280	12	26.290	вдруг
281	12	26.290	делаю
282	12	26.290	купил
283	12	26.290	семья
284	20	25.802	места
285	18	25.675	тему
286	27	25.016	каждый
287	27	25.016	слова
288	13	24.880	маленький
289	13	24.880	машина
290	13	24.880	смотреть
291	9	24.563	видишь
292	9	24.563	двенадцать
293	9	24.563	двести
294	9	24.563	женщина
295	9	24.563	какими-то
296	9	24.563	кошки
297	9	24.563	кхм
298	9	24.563	папа
299	9	24.563	подожди
300	9	24.563	пятьдесят
301	9	24.563	смесь
302	9	24.563	танцами
303	9	24.563	твой
304	9	24.563	учителя
305	9	24.563	чай
306	9	24.563	эмм
307	21	24.229	долго
308	153	24.202	еще
309	14	24.136	вещи
310	14	24.136	мои
311	14	24.136	хотелось
312	36	24.035	одна
313	20	23.971	друг
314	18	23.609	русский
315	16	23.565	читать
316	33	23.419	четыре
317	28	23.017	совсем
318	354	22.734	но
319	40	22.676	говорить
320	21	22.621	куда
321	12	22.448	кем
322	12	22.448	нравятся
323	29	22.392	сама
324	8	21.834	а-а
325	8	21.834	английский
326	8	21.834	брат
327	8	21.834	брови
328	8	21.834	вертолет
329	8	21.834	грустно
330	8	21.834	грустный
331	8	21.834	егэ
332	8	21.834	замечательно
333	8	21.834	иду
334	8	21.834	интересного
335	8	21.834	колесико
336	8	21.834	любишь
337	8	21.834	лёва
338	8	21.834	мамой
339	8	21.834	мемы
340	8	21.834	моих
341	8	21.834	неудобно
342	8	21.834	никит
343	8	21.834	одиннадцать
344	8	21.834	поехал
345	8	21.834	прихожу
346	8	21.834	смотрел
347	8	21.834	смотрела
348	8	21.834	студентов
349	8	21.834	типо
350	8	21.834	умер
351	8	21.834	учился
352	8	21.834	учится
353	8	21.834	ха-ха-ха
