слово,частота
мы,5
другимъ,1
ваши,1
спросилъ,1
ворожатъ,1
чай,1
дальше,1
оба,2
счастіе,2
распутьѣ,1
совѣтовъ,1
бери,1
щегольскимъ,1
такой,4
грѣетъ,1
пѣть,1
остороженъ,1
псалтирь,1
кого,2
карманѣ,7
солнцемъ,1
опустить,1
вдругъ,2
наконецъ,1
то-есть,1
сухой,1
томительно,1
ожиданіе,1
твой,4
всегда,1
дѣвушки,1
рожденіи,1
удовольствій,1
жизни,4
понялъ,2
всѣ,16
ходятъ,1
добрѣ,1
нравится,2
повѣрье,2
моихъ,1
вами,1
служить,1
разъ,8
краткое,1
захочешь,2
грошей,1
платки,1
вещи,3
гадаютъ,1
своему,1
бодрѣе,1
ненужныя,1
дома,1
неопытны,1
лишилъ,1
мальчишки,1
жилъ,1
допрашивалъ,1
рядятся,1
нести,1
пустого,1
однако,5
ключницыной,1
подобными,1
мѣстѣ,2
были,2
кто-то,1
держать,1
этот,1
надѣлалъ,1
безполезно,1
надѣтъ,1
ли,2
слабое,1
станетъ,1
вовсе,1
сдачу,1
необходимости,1
такомъ,2
совѣты,1
въ,67
купцами,1
листовъ,1
безполезность,1
пустое,2
скупить,1
сравненіи,1
людямъ,3
новую,1
глиняныхъ,1
цѣну,1
для,14
окружила,1
словомъ,1
пряники,2
бабушку,1
опять,4
полосатый,1
задавали,1
бѣдные,2
продавецъ,1
поглядите,1
мною,6
исчезъ,1
старики,1
свѣтѣ,2
можетъ,5
хорошъ,1
вести,1
объ,1
сдѣлавши,1
пропалъ,1
всѣмъ,4
видѣть,1
выйти,1
радость,1
моей,3
онучею,1
никогда,1
немного,1
лучшаго,1
возрастѣ,1
принесетъ,1
славу,1
встрѣтиться,1
одно,1
маленькимъ,1
лежитъ,1
быстро,1
бодрость,1
обманете,1
сказали,1
деньги,3
нашимъ,1
соображеніямъ,1
денегъ,1
мальчики,1
случаѣ,1
поясной,1
напримѣръ,2
волшебное,1
ровно,2
къ,9
еще,5
теленку,1
составляли,1
принарядиться,1
между,3
глядѣли,1
